节点名称,百度阅读
阅读/图书,
阅读/图书/现代言情,言情
阅读/图书/穿越重生,
阅读/图书/玄幻奇幻,
阅读/图书/武侠仙侠,武侠魔幻
阅读/图书/游戏竞技,
阅读/图书/青春校园,青春
阅读/图书/历史军事,军事
阅读/图书/灵异悬疑,悬疑推理||灵异恐怖
阅读/图书/文史传记,历史||人物传记||普及读物||世界各国史||中国史
阅读/图书/科幻灵异,科幻
阅读/图书/影视剧本,影视文学
阅读/图书/生活休闲,烹调饮食||健康养生||占星风水||时尚摄影||旅游地理||家居手工||美容塑身||运动健身||休闲娱乐
阅读/图书/经管励志,企业管理||经济金融||投资理财||市场营销||财会统计||通俗读物||成功学||人在职场||演讲口才||人际处事||心灵修养||性格与情绪||青少年励志
阅读/图书/社科科普,
阅读/图书/文学小说,现当代小说
阅读/图书/现代都市,都市
阅读/图书/教育教辅,
阅读/图书/幻想言情,
阅读/图书/古装言情,
阅读/图书/社会乡士,社会乡土
阅读/图书/耽美,
阅读/图书/散文,散文随笔
阅读/图书/外文,外国文学||外文
阅读/图书/两性情感,两性关系||婚姻家庭||情感恋爱
阅读/图书/亲子,孕产育儿||儿童文学||科普百科||幼儿启蒙
阅读/图书/计算机,软硬件开发||图形与图像||网络与通信||家庭与办公||IT人文
阅读/图书/科技,科普读物||自然科学||医学||工业技术
阅读/图书/文学,纪实文学||文学理论||诗词歌赋||国学经典||世界名著
阅读/图书/艺术,设计美术||绘本画册||音乐戏剧
阅读/图书/社会科学,社会学||心理学||宗教哲学||军事法律||时事政治||文化||教育考试
阅读/图书/女生,
阅读/杂志,期刊
阅读/漫画,
