节点名称,豆瓣读书
阅读/图书,
阅读/图书/现代言情,言情
阅读/图书/穿越重生,
阅读/图书/玄幻奇幻,奇幻
阅读/图书/武侠仙侠,武侠
阅读/图书/游戏竞技,
阅读/图书/青春校园,青春文学||青春
阅读/图书/历史军事,历史||中国历史||近代史
阅读/图书/灵异悬疑,悬疑
阅读/图书/文史传记,传记||人物传记
阅读/图书/科幻灵异,科幻小说||科幻
阅读/图书/影视剧本,
阅读/图书/生活休闲,爱情||旅行||生活||励志||成长||摄影||心理||女性||职场||美食||游记||教育||灵修||情感||健康||手工||养生||家居||人际关系||自助游
阅读/图书/经管励志,经济学||管理||经济||金融||商业||投资||营销||理财||创业||广告||股票||企业史||策划||励志
阅读/图书/社科科普,
阅读/图书/文学小说,文学
阅读/图书/现代都市,
阅读/图书/教育教辅,
阅读/图书/幻想言情,
阅读/图书/古装言情,
阅读/图书/社会乡士,
阅读/图书/耽美,
阅读/图书/散文,
阅读/图书/外文,
阅读/图书/两性情感,两性
阅读/图书/亲子,
阅读/图书/计算机,
阅读/图书/科技,科普||互联网||编程||科学||交互设计||用户体验||算法||web||科技||UE||通信||UCD||交互||神经网络||程序
阅读/图书/文学,小说||外国文学||随笔||中国文学||经典||散文||日本文学||村上春树||童话||诗歌||杂文||王小波||张爱玲||儿童文学||古典文学||余华||名著||钱钟书||当代文学||鲁迅||外国名著||诗词||茨威格||米兰·昆德拉||杜拉斯||港台||国学
阅读/图书/艺术,设计||艺术||音乐||绘画||艺术史||美术||戏剧||绘本
阅读/图书/社会科学,社会学
阅读/图书/女生,
阅读/杂志,
阅读/漫画,日本漫画||漫画
